order,class_name,class_teacher,class_school,class_sum
1,C++语言程序设计基础,郑莉 李超 徐明星 ,清华大学,424289
1,数据结构(上),邓俊辉 ,清华大学,410931
1,数据结构（下）,邓俊辉 ,清华大学,358619
1,Java程序设计,郑莉 ,清华大学,195311
1,操作系统,向勇 陈渝 ,清华大学,193154
1,网络技术与应用,沈鑫剡 俞海英 李兴德 许继恒 钱万正 徐海斌 魏涛 宋以胜 ,中国人民解放军陆军工程大学,176093
1,C++语言程序设计进阶,郑莉 李超 徐明星 ,清华大学,117488
1,C程序设计案例教程（基础）,张莉 ,中国农业大学,113470
1,C程序设计案例教程（进阶）,张莉 ,中国农业大学,110285
1,数据挖掘：理论与算法,袁博 ,清华大学,108042
2,大数据技术与应用,李军 ,清华大学,97962
2,软件工程,刘强 刘璘 ,清华大学,93780
2,计算机文化基础,李秀 姚瑞霞 安颖莲 全成斌 ,清华大学,83726
2,程序设计基础,徐明星 王瑀屏 邬晓钧 ,清华大学,80808
2,组合数学,马昱春 ,清华大学,74409
2,大数据系统基础,王建民 徐葳 陈康 陈文光 ,清华大学,74255
2,VC++面向对象与可视化程序设计（上）：Windows编程基础,黄维通 ,清华大学,69325
2,VC++面向对象与可视化程序设计（下）：MFC编程基础,黄维通 ,清华大学,67928
2,人工智能原理,王文敏 ,北京大学,63829
2,大数据平台核心技术,武永卫 姚文辉 陶阳宇 冯骁 谢德军 ,清华大学,62980
3,大学计算机教程,张莉 马钦 ,中国农业大学,62262
3,Web前端攻城狮,刘强 吴亮 赵文博 ,清华大学,57718
3,Office办公软件应用,史巧硕 朱怀忠 刘洪普 李娟 ,河北工业大学,57565
3,汇编语言程序设计,张悠慧 翟季冬 ,清华大学,55244
3,计算机应用基础,宋承继 李莹 李龙龙 ,陕西工业职业技术学院,55146
3,微软亚洲研究院大数据系列讲座,洪小文 宋睿华 谢幸 郑宇 张洪宇 ,Microsoft,52838
3,算法设计与分析,王振波 ,清华大学,51363
3,学做小程序——基础篇,刘强 小程序慕课讲师 ,清华大学,51081
3,大学计算机——计算思维的视角,郝兴伟 ,山东大学,49773
3,面向对象程序设计（C++）,黄震春 徐明星 ,清华大学,49065
4,数据科学导论,袁博 何隽 ,清华大学,48678
4,大学计算机基础,卫春芳 ,湖北大学,46976
4,基于Linux的C++,乔林 ,清华大学,45908
4,大学计算机基础,徐红云 刘欣欣 曹晓叶 ,华南理工大学,45126
4,计算机网络,袁华 杜广龙 张凌 ,华南理工大学,44658
4,JAVA程序设计进阶,许斌 ,清华大学,42077
4,Web开发技术,陈静 王成良 祝伟华 ,重庆大学,38323
4,计算几何,邓俊辉 ,清华大学,38159
4,程序设计基础（上）,赵宏 闫晓玉 李妍 王恺 李敏 ,南开大学,36497
4,大数据机器学习,袁春 ,清华大学,35763
5,R语言数据分析,艾新波 ,北京邮电大学,35546
5,ARM微控制器与嵌入式系统,曾鸣 薛涛 龚光华 ,清华大学,35465
5,单片机原理及应用,杨居义 王颖丽 蒲敏 向兵 ,绵阳职业技术学院,34780
5,程序设计基础（下）,赵宏 李妍 闫晓玉 王恺 李敏 ,南开大学,32428
5,高级大数据系统,王智 ,清华大学,31644
5,Python程序设计基础,许志良 ,深圳信息职业技术学院,31342
5,大学计算机基础,李敏 高裴裴 郭蕴 赵宏 刘哲理 路明晓 李妍 闫晓玉 宋丽培 ,南开大学,30529
5,移动快速应用开发,唐贤传 盛鸿宇 王婷婷 汤恒 胡万福 ,芜湖职业技术学院,27497
5,数据库技术与程序设计,高裴裴 李敏 袁晓洁 赵宏 路明晓 康介恢 闫晓玉 李妍 郭蕴 ,南开大学,26979
5,人工智能,罗会兰 ,江西理工大学,26875
6,Linux 内核分析与应用,陈莉君 谢宝友 张天飞 王小银 刘霞林 张丽丽 ,西安邮电大学,26071
6,科学计算与MATLAB语言,刘卫国 蔡旭晖 吕格莉 何小贤 ,中南大学,25369
6,网络安全概述,纪平 ,学堂在线,24977
6,区块链和加密数字货币,罗玫 ,清华大学,24851
6,互联网大规模数据分析技术,李琳 张蕊 ,武汉理工大学,24694
6,大学物理,侯岩雪 张素红 赵原源 李子敬 王晓颖 王明利 韩振丽 丁喜峰 ,燕山大学,24232
6,Foundations of Computer Graphics,Ravi Ramamoorthi ,加州大学伯克利分校,23610
6,C语言程序设计（上）,李凤霞 陈宇峰 赵三元 ,北京理工大学,23237
6,C君带你玩编程,方娇莉 潘晟旻 普运伟 耿植林 郭玲 田春瑾 刘领兵 黎志 杜文方 郑明雄 ,昆明理工大学,22950
6,数据库系统（上）：模型与语言,战德臣 ,哈尔滨工业大学,22923
7,计算机操作系统,骆斌 葛季栋 ,南京大学,21483
7,Android应用开发基础,赖红 李钦 李华忠 ,深圳信息职业技术学院,21411
7,程序设计基础,吴劲 傅翀 吴佳 罗绪成 王瑞锦 张翔 张学 程红蓉 白忠建 陈伟 江春华 ,电子科技大学,20681
7,微机原理与接口技术,吴宁 ,西安交通大学,20557
7,软件理论基础,罗贵明 ,清华大学,19975
7,小波与科学,冉启文 严质彬 肖宇 张海莹 杨占文 李莉 ,哈尔滨工业大学,19632
7,大数据治理与政策,孟庆国 张楠 郑磊 ,清华大学,19229
7,智能车制作：嵌入式系统,曾鸣 ,清华大学,18936
7,智能车制作：电子技术,任艳频 ,清华大学,18213
7,C语言程序设计基础,李丹 耿植 杨琼 高腾刚 ,贵州理工学院,18055
8,学做小程序——实战篇：树洞小程序,刘强 施建锋 伊甸 小程序慕课讲师 ,清华大学,17986
8,数据结构与算法设计,张小艳 史晓楠 李占利 丁雪芳 冀汶莉 王昱哲 齐爱玲 杨晓强 ,西安科技大学,17981
8,计算机文化基础,杨居义 ,绵阳职业技术学院,17890
8,小白学人工智能,李粤 ,华南理工大学,17826
8,编译技术,王曙燕 初建玮 王春梅 陈燕 黄茹 曾艳 ,西安邮电大学,17625
8,软件设计模式,朱洪军 ,中国科学技术大学,17078
8,移动互联网开发,朱轶 ,江苏大学,16700
8,数据结构（Data Structures）,吕建明 张见威 肖南峰 ,华南理工大学,16552
8,SQL SERVER数据库技术,刘引涛 戚娜 李俊 任婕 ,陕西工业职业技术学院,16414
8,高级数据库系统,杜金莲 ,北京工业大学,16090
9,软件测试,郑炜 黄松 倪爱军 刘中 于婷婷 吴潇雪 ,西北工业大学,15932
9,C语言程序设计,丁海燕 胡盛 ,云南大学,15826
9,大学计算机,李凤霞 陈宇峰 赵三元 ,北京理工大学,15744
9,计算机通信网络,卢选民 闫中江 赵宏伟 ,西北工业大学,15492
9,物联网工程导论,普园媛 何乐生 余鹏飞 杨艳华 艾昌文 尉洪 常俊 周永录 刘宏杰 ,云南大学,14986
9,Java程序设计基础,赖红 李钦 覃国蓉 魏勇 ,深圳信息职业技术学院,14813
9,Petri网：模型、理论与应用,袁崇义 闻立杰 王建民 ,清华大学,14522
9,Linux系统管理,颜晨阳 ,宁波城市职业技术学院,14211
9,微软--计算机视觉论文分享课,,,12997
9,网络、群体与市场,石兵 ,武汉理工大学,12824
10,大数据算法,王宏志 ,哈尔滨工业大学,12815
10,玩转计算机二级—office高级修炼,苟燕 王强 刘志国 侯欣舒 ,内蒙古师范大学,12505
10,嵌入式系统设计,杨峰 ,电子科技大学,12491
10,数据库系统（中）：建模与设计,战德臣 ,哈尔滨工业大学,12032
10,信息安全技术,孙建国 赵国冬 兰海燕 ,哈尔滨工程大学,11947
10,数据库系统原理与开发,陆鑫 张凤荔 陈安龙 ,电子科技大学,11619
